0--0,0--1,0--2,0--3,0--4,0--5,0--6,0--7,0--8,0--9,1--0,1--1,1--2,1--3,1--4,1--5,1--6,1--7,1--8,1--9,2--0,2--1,2--2,2--3,2--4,2--5,2--6,2--7,2--8,2--9,3--0,3--1,3--2,3--3,3--4,3--5,3--6,3--7,3--8,3--9,4--0,4--1,4--2,4--3,4--4,4--5,4--6,4--7,4--8,4--9
58,55,51,53,51,67,61,54,61,60,55,58,70,62,60,68,62,51,59,65,64,48,71,65,58,56,64,50,51,63,61,62,57,63,62,65,46,62,63,65,53,65,69,59,48,53,56,59,62,56
-2,-5,-10,6,1,-6,5,-2,-19,13,-12,-1,-10,2,6,3,-19,-9,2,-2,-15,7,10,-7,0,-3,4,2,2,3,3,1,-7,2,-2,-15,1,9,8,21,4,2,8,-3,2,-2,-8,-4,-6,-7
-1,-4,-12,3,5,-9,2,-4,-16,13,-14,1,-10,-2,6,1,-20,-15,2,0,-14,9,10,-7,4,-1,5,4,4,3,6,-3,-10,5,-1,-14,2,10,7,21,3,2,8,-6,1,-2,-7,-3,-8,-4
0,-4,-11,9,6,-7,2,-7,-13,13,-12,3,-11,-3,6,1,-21,-14,3,1,-12,10,10,-6,5,-3,4,5,7,3,5,-5,-10,4,1,-15,3,7,6,21,7,1,8,-4,1,-3,-7,-3,-7,-8
1,-4,-9,8,5,-9,2,-7,-12,13,-11,0,-6,-4,6,3,-20,-15,4,-1,-9,10,10,-3,0,-1,5,0,6,4,3,-6,-10,4,0,-15,3,7,7,21,7,2,8,-3,1,-2,-10,-3,-6,-7
2,-5,-9,9,5,-8,2,-7,-12,13,-10,1,-5,-4,6,0,-20,-15,4,1,-8,10,10,-1,-3,-2,7,-2,7,3,4,-6,-10,4,0,-15,2,9,7,21,7,4,8,-2,1,-2,-9,-4,-6,-7
3,-4,-9,9,5,-9,3,-6,-12,13,-10,1,-9,-4,6,-1,-20,-14,5,1,-5,10,10,-1,-2,-1,7,-2,6,5,4,-6,-9,4,0,-15,2,9,7,21,7,4,8,-3,1,-2,-9,-5,-6,-7
4,-4,-9,9,5,-9,4,-6,-13,13,-10,1,-9,-4,6,-1,-20,-14,5,1,-5,10,10,-2,-2,0,5,-2,7,6,4,-6,-9,3,0,-15,2,9,7,21,7,4,8,-3,1,-2,-9,-5,-6,-7
4,-3,-9,9,5,-9,4,-6,-13,13,-10,1,-8,-5,6,-1,-21,-14,5,1,-6,10,10,-1,-2,0,5,-1,7,5,4,-6,-9,3,0,-15,2,9,7,21,7,4,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-8,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,1,6,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-2,-1,1,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
4,-3,-9,9,5,-9,4,-5,-13,13,-10,1,-9,-5,6,-1,-21,-14,5,1,-7,10,10,-1,-1,2,5,-1,7,5,4,-6,-8,4,0,-15,2,9,7,21,7,5,8,-4,1,-2,-9,-5,-5,-7
